"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ADCK5",1178.60630080622,0.428396038684184,0.210311347629322,0.0330756428940198,0.0626177300310468
"ADCY1",425.099415388009,1.28837974016706,0.328887892095695,2.04901623014556e-05,9.27549024418288e-05
"ADCY2",30.0962730603009,0.200834707955271,0.322704616293967,0.488437871268046,0.584192480035307
"ADCY3",487.356336490443,-0.208538651468976,0.207374369465809,0.292739065742131,0.389950529082914
"ADCY4",512.946174592742,0.981072389389211,0.207374817478445,8.50657669406628e-07,5.13302832992376e-06
"ADCY5",189.521757836434,0.384684405635744,0.399108470051134,0.252695676480191,0.34558179837869
"ADCY6",2143.98670382399,-0.0713126992166339,0.150151745847381,0.625966962815719,0.707318623156047
"ADCY7",464.65582143326,-0.267781606518933,0.206712940558438,0.175369546518034,0.256517389147979
"ADCY9",896.162551636376,0.530438923738976,0.137254330746844,8.1130132115321e-05,0.000320204116836801
"ADCYAP1",7.67465821859741,-1.15044116060852,0.597590903391485,0.011930806455138,0.026145857205511
"ADCYAP1R1",143.20298001879,-0.92235704766011,0.291919367228446,0.000605652116992755,0.0019174457156811
"ADD1",3415.36607144333,-0.214417706923594,0.0688647671997233,0.00175076586078694,0.00488862797704311
"ADD3",1064.69978224343,0.516163107078362,0.161663273616713,0.00103687705118772,0.00308927750733682
"ADGRA1",24.8280230305941,0.460753888634498,0.307267478677042,0.0978168999176726,0.157639543786242
"ADGRA2",1369.81809894833,-0.222620038728233,0.209856858365325,0.266313428147305,0.361182726817269
"ADGRA3",1485.21132854484,-0.143181947362821,0.116529541750357,0.211841273533673,0.299431286767785
"ADGRB1",200.689034395551,-0.55365107784416,0.211250542958806,0.00597124868691559,0.0143215843625574
"ADGRB2",82.9527102584974,-0.724206950781316,0.286422433535403,0.00590967111795028,0.0141893205321483
"ADGRB3",17.4233942682203,1.46149887913176,0.422165376985268,0.000101287494062014,0.000390674010094963
"ADGRD1",625.457854658549,-0.509598162243246,0.26863008140302,0.0402692693577264,0.0740136003502938
"ADGRE1",17.4569350563408,-0.0345199247605465,0.450901430067955,0.920350785446063,0.943168516699937
"ADGRE2",262.626937510321,3.05653057104716,0.174871135227049,1.82277681452593e-69,1.23738502986087e-66
"ADGRE5",546.503956905119,-0.272694306654639,0.219749961091801,0.191548300882599,0.275738317476378
"ADGRF3",108.137130853473,1.07714818042704,0.23460569423017,1.41735373814508e-06,8.16458664434095e-06
"ADGRF5",1373.78511462105,0.507260281689525,0.194149919253403,0.00661276070639411,0.01564660291422
"ADGRG1",3579.79373615878,-1.02838478700072,0.127892326265675,3.16540857780314e-16,8.20403251075263e-15
"ADGRG2",195.578600293079,0.569861764219502,0.189899925832311,0.00183210815410029,0.00508678762307222
"ADGRG3",279.914214693588,0.40901409526054,0.128731327571094,0.00123321763064837,0.00359239002821318
"ADGRG4",10.5178017966988,-0.667969714593748,0.558831788144816,0.101263549802454,0.162260703950369
"ADGRG5",9.51733459800285,-0.473826946332015,0.561898534052862,0.228774649800032,0.318644900068883
"ADGRG6",399.1398924982,-0.042255696685844,0.201186731446762,0.825317652881361,0.871588378708552
"ADGRG7",5.92400587547237,-1.10475677060159,1.03221968897275,0.0369557740136626,0.0687178056617304
"ADGRL1",1030.99705269132,0.569960964532284,0.17086920704712,0.00058108254506447,0.00184794719286268
